Employer_id;Employer_name;Total_working_position;Employer_state
500704;Rigiflex Technology;2;CA
500705;Csidentity ;11;TX
500706;Obviouslee Marketing;1;SC
500707;Centerline Architects;1;VT
500708;Habib American;1;NY
500709;Key Tower;1;IL
500710;Sumeru ;13;DC
500711;Grammatech ;3;NY
500712;Dairy Farmers;4;KS
500713;National Child;1;DC
500714;Honeycomb ;1;OH
500715;Printerprezz ;1;CA
500716;Beetleai Solutions;2;NC
500717;Demaria Law;2;CA
500718;Perfect General;1;TX
500719;Bictop ;1;MA
500720;Iris Soft;6;NJ
500721;Venue ;1;TN
500722;Rk Infotech;13;TX
500723;Connecticut Department;1;CT
500724;Noviland ;3;GA
500725;Merla ;3;TX
500726;Samni ;1;IN
500727;Sustany ;1;CA
500728;Varant ;1;TX
500729;Ksapex ;1;VA
500730;Everite Solutions;21;GA
500731;Glauconix Biosciences;2;NY
500732;Sparme ;1;CA
500733;Wio Sales;1;CT
500734;Swartek ;10;VA
500735;Ip Video;1;PA
500736;Lutsko Associates;1;CA
500737;Innodisk ;1;CA
500738;Adroit ;23;WA
500739;Pharmurex ;1;CA
500740;Clinical Data;4;GA
500741;Pearson Chiropractic;2;WA
500742;Landis ;1;NY
500743;Holt Construction;2;NY
500744;Vmark Solutions;1;VA
500745;Icore Infotech;12;MD
500746;Dlp Conemaugh;7;PA
500747;Signature It;46;OH
500748;Eagle ;10;MI
500749;Aryng ;1;CA
500750;Honora Solutions;3;OH
500751;First Eagle;3;NY
500752;Juno Therapeutics;10;WA
500753;Advantiv ;1;CA
500754;Cheema Transport;1;CA
500755;Thuilot Associates;1;CA
500756;Affinity Cardiovascular;2;AL
500757;Mvs ;2;IN
500758;Plymouth State;1;NH
500759;Honeywell International;172;NC
500760;Tmobile ;574;WA
500761;Marriott International;48;MD
500762;Marriott Ownership;3;FL
500763;Marshall Retail;1;NV
500764;Wellington Management;74;MA
500765;Eaton ;57;OH
500766;Gainwell ;79;AR
500767;Greenhill ;5;NY
500768;Hewlett Packard;435;TX
500769;Dxc Technology;970;TX
500770;Lenovo Global;93;NC
500771;Tibco Software;61;CA
500772;Agilent ;58;CA
500773;Blue Raven;1;UT
500774;Natera ;63;CA
500775;Comsol ;7;MA
500776;Payward ;14;CA
500777;Db Global;143;NC
500778;Deutsche Bank;223;NY
500779;Sony Interactive;194;CA
500780;Alliancebernstein ;168;TN
500781;Springworks Therapeutics;3;CT
500782;Apttus ;33;CA
500783;Reed Smith;7;PA
500784;Db ;192;NY
500785;Allianz Global;8;NY
500786;Institutional Shareholder;11;MD
500787;Fis Management;471;NY
500788;Sotheby'S ;9;NY
500789;Rakuten Marketing;6;NY
500790;Franklin Templeton;17;CA
500791;Dws Investment;14;NY
500792;The Ayco;53;NJ
500793;Insomniac Games;2;CA
500794;Walmart Associates;3026;AR
500795;Franklin Advisers;7;CA
500796;Arch Venture;1;IL
500797;Rakuten ;17;CA
500798;Worldwide Sport;3;NY
500799;Headspin ;5;CA
500800;Altiostar Networks;11;MA
500801;Stifel Financial;6;MO
500802;Myome ;2;CA
500803;Mitsubishi Power;7;FL
500804;Blackrock Financial;596;DE
500805;Crackle Plus;2;CT
500806;Alight Solutions;27;IL
500807;Sony Biotechnology;1;NY
500808;Mitsubishi Logisnext;3;TX
500809;The Madeira;3;VA
500810;Southland ;1;CA
500811;Brean Capital;1;NY
500812;Acmh ;2;NY
500813;Global Citizens;2;DC
500814;Empire Leasing;1;DC
500815;Cobbs Creek;3;PA
500816;Lafayette Federal;1;MD
500817;Onsolve ;8;FL
500818;Iptiq Americas;18;NY
500819;Lcs Financial;1;CO
500820;Sewon America;1;GA
500821;Syneren ;3;VA
500822;Gfa Alabama;1;AL
500823;Leehan America;1;AL
500824;Chambertroup ;2;AL
500825;Mobis Us;3;AL
500826;Boomi Lp;16;PA
500827;Jpmorgan Chase;2976;IL
500828;Calvert Research;2;NY
500829;Jpmorgan ;22;IL
500830;Etrade Securities;2;NY
500831;Sisense Sf;1;CA
500832;Dc ;27;MN
500833;Thorlabs ;8;NJ
500834;Rohinni ;3;WA
500835;Quantum Construction;2;FL
500836;Netsync Managed;3;TX
500837;Bara Consulting;3;NJ
500838;Karma Automotive;12;CA
500839;Progrexion Asg;4;UT
500840;Guilford County;7;NC
500841;Phunware ;2;TX
500842;Infinera ;53;CA
500843;Litepoint ;16;CA
500844;Auryc ;1;CA
500845;Worldwide Oilfield;7;TX
500846;Zefr ;10;CA
500847;Steptoe ;4;DC
500848;Schreiber Foods;1;WI
500849;Good Meat;3;CA
500850;Team Tranquil;11;NJ
500851;Inspace Proximity;1;VT
500852;Zscaler ;138;CA
500853;Independent Health;10;NY
500854;Advantest America;31;CA
500855;Qpharma ;3;NJ
500856;Ryder System;48;FL
500857;Bgc Technology;8;NY
500858;Analysts International;10;GA
500859;Medical Mutual;11;OH
500860;Monarch Infotech;11;GA
500861;Fiddler Labs;13;CA
500862;Ggk ;5;GA
500863;Inteplast ;15;TX
500864;Sonic Automotive;1;NC
500865;Altria Client;21;VA
500866;Constellium Rolled;1;WV
500867;Everymundo ;6;FL
500868;Treez ;3;CA
500869;Boomi ;40;PA
500870;Mercy Clinic;52;MO
500871;Dingyi North;1;WA
500872;Midasoft ;3;NY
500873;The Jackson;50;ME
500874;Inqbrands ;1;CA
500875;Akdo Intertrade;4;CT
500876;Dimensional Energy;1;NY
500877;Ethos ;27;CA
500878;Monterey Peninsula;6;CA
500879;North Suffolk;9;MA
500880;Suffolk County;1;NY
500881;Chama Valley;2;NM
500882;Labq Clinical;2;NY
500883;Jomashop ;1;NY
500884;Methodist Health;4;TX
500885;Blank Street;4;NY
500886;United Wholesale;35;MI
500887;Dollar Shave;1;CA
500888;Scientific Games;16;NV
500889;Performance Machine;2;CA
500890;Loma Linda;23;CA
500891;Costar Realty;47;DC
500892;Tachyum ;1;CA
500893;Ordway Labs;3;DC
500894;Midwestern University;8;IL
500895;Florida League;1;FL
500896;Chapman University;7;CA
500897;The Clorox;19;CA
500898;Decatur Memorial;3;IL
500899;Alpha Academy;12;NC
500900;Duane Morris;5;PA
500901;Croft ;1;GA
500902;Ezshred ;2;OH
500903;Energid ;1;MA
500904;Procept Biorobotics;10;CA
500905;Amscan ;1;NY
500906;Bal Seal;2;CA
